"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different features","Check the API call returns 200","SUCCESS","09:13:07","0.0","0.36"
"Testing different features","response code is validated when an API call is made","SUCCESS","09:13:10","0.0","3.92"
